id_cancion	plays	song	artist	id_cancion	requests
576068	68645	Bailando - Spanish Version	Enrique Iglesias, Decemer Bueno, Gente De Zona	576068	10009
575336	49538	Propuesta Indecente	Romeo Santos	575336	10098
578908	44766	La Gozadera	Gente De Zona, Marc Anthony	578908	6073
571495	39623	Wake Me Up	Avicii	571495	3517
577921	37145	El PerdÃ_n	Nicky Jam, Enrique Iglesias	577921	5252
542282	36225	Vivir Mi Vida	Marc Anthony	542282	6247
579852	34172	CÃ_mo Te Atreves	Morat	579852	3177
311862	32116	Mi Gran Noche	Raphael	311862	7920
579953	31236	La Bicicleta	Carlos Vives, Shakira	579953	4458
576271	30317	Chandelier	Sia	576271	1374
577123	29834	Dangerous (feat. Sam Martin)	David Guetta, Sam Martin	577123	1677
576938	29556	Tocado y hundido	Melendi	576938	1450
575199	29404	Loco	Enrique Iglesias Feat Romeo Santos	575199	4898
559576	28829	Cero	Dani Martin	559576	884
505327	28604	Vuelvo A Verte	Malu	505327	315
550108	28480	Let Her Go	Passenger	550108	766
575320	28235	Hey Brother	Avicii	575320	2308
580379	28076	Despacito	Luis Fonsi, Daddy Yankee	580379	4899
378568	27922	Can't Hold Us - feat. Ray Dalton	Macklemore & Ryan Lewis	378568	1640
577542	27676	Uptown Funk	Mark Ronson, Bruno Mars	577542	1786
580154	27150	ReggaetÃ_n Lento (Bailemos)	CNCO	580154	3131
580189	27041	Chantaje	Shakira, Maluma	580189	2162
576219	26977	Cola Song (feat. J Balvin)	Inna, J Balvin	576219	1319
576497	26956	Thinking Out Loud	Ed Sheeran	576497	359
576195	26905	Noche Y De Dia	Enrique Iglesias, Yandel, Juan Magan	576195	2182
579745	26476	Faded	Alan Walker	579745	1573
580124	26193	Let Me Love You	DJ Snake, Justin Bieber	580124	369
478350	26010	Impossible	James Arthur	478350	485
576405	26000	Stay With Me	Sam Smith	576405	197
571585	25881	Wrecking Ball	Miley Cyrus	571585	960
542466	25589	Blurred Lines	Robin Thicke	542466	1283
575705	25544	All of Me	John Legend	575705	628
571568	25457	A Prueba de Ti	Malu	571568	640
580171	25207	24K Magic	Bruno Mars	580171	813
576939	24938	Por fin	Pablo Alboran	576939	317
378582	24758	Thrift Shop - feat. Wanz	Macklemore & Ryan Lewis	378582	1199
20323	24546	So Payaso	Extremoduro	20323	4300
369058	24341	Tanto	Pablo Alboran	369058	750
579879	24327	Ain't Your Mama	Jennifer Lopez	579879	1050
29402	24190	En Blanco Y Negro	Barricada	29402	2904
575267	24113	Timber	Pitbull	575267	1373
579874	24049	DUELE EL CORAZON	Enrique Iglesias, Wisin	579874	2812
579209	23808	Borro Cassette	Maluma	579209	1491
576067	23721	Adrenalina	Wisin, Jennifer Lopez, Ricky Martin	576067	3442
579812	23518	I Took A Pill In Ibiza	Mike Posner, Seeb	579812	461
577005	23409	I'm an Albatraoz	AronChupa	577005	1617
577242	23333	El Taxi	Osmani Garcia, La Voz, Pitbull, Sensato	577242	5167
575208	23255	Animals - Radio Edit	Martin Garrix	575208	3780
378472	23165	Radioactive	Imagine Dragons	378472	1398
21280	23060	Feo, fuerte y formal	Loquillo	21280	2667
579361	22951	La Mordidita	Ricky Martin, Yotuel	579361	4238
578946	22738	Lean On	Major Lazer, MÃ˜, DJ Snake	578946	1202
575340	22648	Darte un Beso	Prince Royce	575340	2793
579664	22592	Picky	Joey Montana	579664	2919
576762	22558	All About That Bass	Meghan Trainor	576762	863
560653	22405	We Can't Stop	Miley Cyrus	560653	446
460601	22328	Thunderstruck	AC/DC	460601	5622
579848	22328	Baila Conmigo	Juan MagÃ¡n, Luciana	579848	1070
577759	22042	Ã‰l No Te Da	Dasoul	577759	1862
579883	21996	Sofia	Alvaro Soler	579883	1117
579875	21843	One Dance	Drake, Wizkid, Kyla	579875	471
359177	21835	Safe and Sound	Capital Cities	359177	783
577636	21735	Elastic Heart	Sia	577636	470
575735	21693	Diez Mil Maneras	David Bisbal	575735	1194
571455	21519	Love Me Again	John Newman	571455	765
579543	21403	Love Yourself	Justin Bieber	579543	423
576944	21335	Entre la espada y la pared	Fito y Fitipaldis	576944	675
577145	21084	Outside	Calvin Harris, Ellie Goulding	577145	743
575693	21028	Stolen Dance	Milky Chance	575693	574
579916	21025	Andas En Mi Cabeza	Chino & Nacho, Daddy Yankee	579916	1490
576640	21004	Habits (Stay High)	Tove Lo	576640	239
575713	20876	Can't Remember To Forget You	Shakira, Rihanna	575713	496
577435	20862	La promesa	Melendi	577435	785
575358	20815	Talk Dirty (feat. 2 Chainz)	Jason Derulo	575358	885
374641	20806	Tu jardÃ_n con enanitos	Melendi	374641	1529
576759	20801	Fireball	Pitbull, John Ryan	576759	1099
544092	20731	Mal de Amores	Juan Magan	544092	2944
577760	20551	Sugar	Maroon 5	577760	449
575702	20536	Dark Horse	Katy Perry, Juicy J	575702	549
554382	20304	Fantastic Shine	Love of Lesbian	554382	177
526271	20302	When I Was Your Man	Bruno Mars	526271	218
43888	20107	Soldadito marinero	Fito y Fitipaldis	43888	3068
560748	20094	Counting Stars	OneRepublic	560748	642
579656	20014	Traidora	Gente De Zona, Marc Anthony	579656	2885
579334	19969	Vuelve	Juan Magan, Paulina Rubio, DCS	579334	1291
369039	19920	Diamonds	Rihanna	369039	1559
576260	19679	A Sky Full Of Stars	Coldplay	576260	819
579806	19660	Cheap Thrills	Sia, Sean Paul	579806	849
359176	19660	I Love It - feat. Charli XCX	Icona Pop	359176	818
578499	19473	Want To Want Me	Jason Derulo	578499	470
571514	19430	Roar	Katy Perry	571514	564
579404	19390	Tu Enemigo	Pablo LÃ_pez, Juanes	579404	1429
580155	19337	Heathens	Twenty One Pilots	580155	392
369401	19193	Locked Out Of Heaven	Bruno Mars	369401	1982
366412	19150	Sultans Of Swing	Dire Straits	366412	2347
578523	18992	SÃ_gueme Y Te Sigo	Daddy Yankee	578523	1101
580156	18946	Starboy	The Weeknd, Daft Punk	580156	245
578063	18861	Love Me Like You Do - From Fifty Shades Of Grey	Ellie Goulding	578063	654
577466	18726	The Nights	Avicii	577466	739
575569	18623	The Monster	Eminem, Rihanna	575569	554
579652	18591	Lush Life	Zara Larsson	579652	254
579749	18572	Work	Rihanna, Drake	579749	1063
580050	18555	Treat You Better	Shawn Mendes	580050	76
45085	18542	No Digas Nada	Cali Y El Dandee	45085	1278
576261	18299	Wasted	TiÃ«sto, Matthew Koma	576261	256
378411	18217	Ho Hey	The Lumineers	378411	704
43601	18102	I Want To Break Free - 2011 Remaster	Queen	43601	2032
20343	18052	La vereda de la puerta de atras	Extremoduro	20343	2964
580230	18017	Don't Wanna Know	Maroon 5, Kendrick Lamar	580230	136
579849	17922	Vuela CorazÃ_n	Dasoul	579849	511
571513	17896	Applause	Lady Gaga	571513	350
575616	17893	Terriblemente Cruel	Leiva	575616	1401
580369	17877	Shape of You	Ed Sheeran	580369	1311
513861	17839	I Could Be The One [Avicii vs Nicky Romero] - Nicktim - Radio Edit	Avicii, Nicky Romero	513861	559
561041	17804	la la la	Naughty Boy	561041	761
577949	17752	Mi Nuevo Vicio	Paulina Rubio, Morat	577949	1936
580051	17683	We Don't Talk Anymore (feat. Selena Gomez)	Charlie Puth, Selena Gomez	580051	230
576742	17679	Break Free	Ariana Grande, Zedd	576742	261
